id,mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,namkhoahoc
18960.0,35B74880XPvAibaEXe/k5cHhyiupXLoRd5WQsbFM,2001.0,0.0,Đắk Lắk, TMCL2019.2, HTTT, CLC,14, D52480104,1.0,Tỉnh Đắk Nông,2019
18961.0,D38BF3F8XPvAibaEXe/k5cHhyiupXKjeht69EbkC,2001.0,1.0,Quảng Ngãi, KTPM2019, CNPM, CQUI,14, D480103,1.0,Huyện Đức Phổ,2019
18962.0,DDEF94BBXPvAibaEXe/k5cHhyiupXDbA73jrlDgt,2001.0,1.0,Bình Định, KHDL2019, KTTT, CQUI,14,7480109,1.0,Tỉnh Bình Định,2019
18963.0,3D2DDBBCXPvAibaEXe/k5cHhyiupXOtCdONJM27A,2001.0,0.0,Hải Dương, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Tỉnh Hải Dương,2019
18964.0,B19CCC5AXPvAibaEXe/k5cHhyiupXFItha8MpEch,2001.0,1.0,Lâm Đồng, KHCL2019.3, KHMT, CLC,14, D480101,1.0,Huyện Bảo Lâm,2019
18965.0,395461C2XPvAibaEXe/k5cHhyiupXLmh+3h7CDfw,2001.0,1.0,Tiền Giang, ATTN2019, MMT&TT, KSTN,14, D480299,1.0,Xã An Cư,2019
18966.0,9136966EXPvAibaEXe/k5cHhyiupXENqS7dV5EXS,2001.0,1.0,Bình Định, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Bình Định,2019
18967.0,4C5AA925XPvAibaEXe/k5cHhyiupXHrA+ca3UBxj,2001.0,1.0,Kiên Giang, MMCL2019.2, MMT&TT, CLC,14,7480102,5.0,Tỉnh Kiên Giang,2019
18968.0,DD99B76DXPvAibaEXe/k5cHhyiupXMrgAcTpCELF,2001.0,1.0,Đồng Nai, ATTT2019, MMT&TT, CQUI,14, D480299,1.0,Tỉnh Đồng Nai,2019
18969.0,EE78962CXPvAibaEXe8CYkXkPteanKcDp5dBUB8+,2001.0,1.0,Phú Yên, HTCL2019.2, HTTT, CLC,14, D480104,1.0,Tỉnh Phú Yên,2019
